gender,age,survived,class,embarked,country,,,,,,,,,,,,,,,,,
Male,71,No,1,C,SAM,,,,,,,,,,,,,,,,,
Male,57,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,35,No,3,S,SAM,,,,,,,,,,,,,,,,,
Male,5,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,9,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,3,Yes,3,S,SWE,,,,,,,,,,,,,,,,,
Male,13,No,3,S,SWE,,,,,,,,,,,,,,,,,
Female,5,Yes,3,S,SWE,,,,,,,,,,,,,,,,,
Male,40,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,13,Yes,3,S,SWE,,,,,,,,,,,,,,,,,
Female,38,Yes,3,S,SWE,,,,,,,,,,,,,,,,,
Female,45,Yes,3,C,LBN,,,,,,,,,,,,,,,,,
Male,23,No,3,S,SAM,,,,,,,,,,,,,,,,,
Male,47,No,1,C,USA,,,,,,,,,,,,,,,,,
Female,18,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Female,17,No,3,C,LBN,,,,,,,,,,,,,,,,,
Male,27,No,3,C,NAM,,,,,,,,,,,,,,,,,
Female,24,Yes,1,C,EUR,,,,,,,,,,,,,,,,,
Male,23,No,3,S,SWE,,,,,,,,,,,,,,,,,
Female,15,Yes,3,C,LBN,,,,,,,,,,,,,,,,,
Male,32,No,3,S,FIN,,,,,,,,,,,,,,,,,
Female,33,Yes,3,S,FIN,,,,,,,,,,,,,,,,,
Female,3,Yes,3,C,LBN,,,,,,,,,,,,,,,,,
Female,0.75,Yes,3,C,LBN,,,,,,,,,,,,,,,,,
Female,5,Yes,3,C,LBN,,,,,,,,,,,,,,,,,
Female,23,Yes,3,C,LBN,,,,,,,,,,,,,,,,,
Female,18,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Male,40,No,3,C,LBN,,,,,,,,,,,,,,,,,
Male,18,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,22,No,2,S,EUR,,,,,,,,,,,,,,,,,
Male,26,No,3,S,EUR,,,,,,,,,,,,,,,,,
Female,36,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,28,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,31,Yes,3,S,EUR,,,,,,,,,,,,,,,,,
Female,18,No,3,C,LBN,,,,,,,,,,,,,,,,,
Female,45,No,3,C,LBN,,,,,,,,,,,,,,,,,
Female,27,Yes,1,S,,,,,,,,,,,,,,,,,,
Male,47,Yes,1,S,ENG,,,,,,,,,,,,,,,,,
Female,33,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,22,No,3,S,ENG,,,,,,,,,,,,,,,,,
Female,32,Yes,1,C,EUR,,,,,,,,,,,,,,,,,
Male,52,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,23,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,60,No,1,C,USA,,,,,,,,,,,,,,,,,
Male,24,No,1,C,NAM,,,,,,,,,,,,,,,,,
Female,50,Yes,1,C,NAM,,,,,,,,,,,,,,,,,
Male,32,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Female,22,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,36,No,1,S,NAM,,,,,,,,,,,,,,,,,
Male,44,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,20,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,1,Yes,2,S,ASA,,,,,,,,,,,,,,,,,
Female,4,Yes,2,S,ASA,,,,,,,,,,,,,,,,,
Female,12,Yes,2,S,ASA,,,,,,,,,,,,,,,,,
Female,35,Yes,2,S,USA,,,,,,,,,,,,,,,,,
Male,37,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,46,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,34,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,26,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,26,No,3,S,SWE,,,,,,,,,,,,,,,,,
Female,19,Yes,2,S,USA,,,,,,,,,,,,,,,,,
Male,22,No,3,S,FIN,,,,,,,,,,,,,,,,,
Male,23,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,39,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Female,46,Yes,1,C,,,,,,,,,,,,,,,,,,
Male,32,Yes,3,S,,,,,,,,,,,,,,,,,,
Female,31,Yes,1,S,ENG,,,,,,,,,,,,,,,,,
Male,21,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,24,No,1,C,,,,,,,,,,,,,,,,,,
Male,25,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Female,19,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,18,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,24,No,4,S,ENG,,,,,,,,,,,,,,,,,
Male,28,Yes,1,S,SWE,,,,,,,,,,,,,,,,,
Male,45,No,1,S,USA,,,,,,,,,,,,,,,,,
Male,39,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Female,30,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,61,Yes,1,S,ENG,,,,,,,,,,,,,,,,,
Male,41,No,1,S,ENG,,,,,,,,,,,,,,,,,
Male,26,No,3,S,,,,,,,,,,,,,,,,,,
Male,25,No,2,S,USA,,,,,,,,,,,,,,,,,
Female,40,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,42,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,32,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,45,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,26,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,42,No,2,S,,,,,,,,,,,,,,,,,,
Female,22,Yes,1,S,ENG,,,,,,,,,,,,,,,,,
Male,30,No,2,S,USA,,,,,,,,,,,,,,,,,
Female,22,Yes,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,41,No,1,S,USA,,,,,,,,,,,,,,,,,
Female,20,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,24,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,48,No,1,C,USA,,,,,,,,,,,,,,,,,
Male,29,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,23,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,37,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,46,No,1,C,USA,,,,,,,,,,,,,,,,,
Male,20,No,2,S,EUR,,,,,,,,,,,,,,,,,
Male,32,No,2,S,,,,,,,,,,,,,,,,,,
Male,22,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,40,No,3,S,ENG,,,,,,,,,,,,,,,,,
Female,18,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Female,15,Yes,2,S,AFR,,,,,,,,,,,,,,,,,
Female,59,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,40,Yes,2,S,AFR,,,,,,,,,,,,,,,,,
Female,44,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,60,No,2,S,AFR,,,,,,,,,,,,,,,,,
Female,20,Yes,2,S,SWE,,,,,,,,,,,,,,,,,
Male,25,No,2,S,SWE,,,,,,,,,,,,,,,,,
Female,22,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,21,Yes,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,58,Yes,1,C,ASA,,,,,,,,,,,,,,,,,
Male,7,No,3,C,LBN,,,,,,,,,,,,,,,,,
Female,10,No,3,C,LBN,,,,,,,,,,,,,,,,,
Female,40,No,3,C,LBN,,,,,,,,,,,,,,,,,
Male,19,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,41,Yes,1,C,,,,,,,,,,,,,,,,,,
Female,17,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,36,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,26,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,21,No,3,C,LBN,,,,,,,,,,,,,,,,,
Male,46,No,1,S,USA,,,,,,,,,,,,,,,,,
Male,42,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,40,Yes,2,S,USA,,,,,,,,,,,,,,,,,
Female,21,No,3,S,EUR,,,,,,,,,,,,,,,,,
Female,30,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,18,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,38,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,28,No,1,S,EUR,,,,,,,,,,,,,,,,,
Male,42,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,0.833333333,Yes,2,S,ASA,,,,,,,,,,,,,,,,,
Male,26,Yes,2,S,ASA,,,,,,,,,,,,,,,,,
Female,28,Yes,2,S,USA,,,,,,,,,,,,,,,,,
Male,17,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,23,Yes,4,S,ENG,,,,,,,,,,,,,,,,,
Male,17,No,3,S,EUR,,,,,,,,,,,,,,,,,
Female,35,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,21,No,2,B,EUR,,,,,,,,,,,,,,,,,
Female,22,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,21,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,52,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,29,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,28,No,3,C,NAM,,,,,,,,,,,,,,,,,
Female,18,No,3,C,LBN,,,,,,,,,,,,,,,,,
Male,19,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,58,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,36,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,28,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,24,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,33,No,1,S,USA,,,,,,,,,,,,,,,,,
Male,17,No,1,S,SAM,,,,,,,,,,,,,,,,,
Male,27,No,1,S,SAM,,,,,,,,,,,,,,,,,
Female,45,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,54,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,11,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,13,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,45,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,36,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,36,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,28,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,49,No,1,S,USA,,,,,,,,,,,,,,,,,
Female,36,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Female,25,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,36,No,1,S,ENG,,,,,,,,,,,,,,,,,
Male,24,No,3,S,,,,,,,,,,,,,,,,,,
Male,46,No,1,S,USA,,,,,,,,,,,,,,,,,
Female,47,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,27,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,32,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,52,No,2,S,USA,,,,,,,,,,,,,,,,,
Male,37,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,29,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,20,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,36,Yes,1,C,,,,,,,,,,,,,,,,,,
Female,30,Yes,1,S,ENG,,,,,,,,,,,,,,,,,
Male,45,Yes,1,C,EUR,,,,,,,,,,,,,,,,,
Female,48,Yes,1,S,ENG,,,,,,,,,,,,,,,,,
Male,32,Yes,3,S,,,,,,,,,,,,,,,,,,
Male,43,No,1,B,EUR,,,,,,,,,,,,,,,,,
Male,29,No,3,S,ENG,,,,,,,,,,,,,,,,,
Female,25,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Female,52,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,26,No,3,C,,,,,,,,,,,,,,,,,,
Male,21,No,3,C,,,,,,,,,,,,,,,,,,
Male,29,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,28,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,28,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Female,26,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,27,No,1,C,USA,,,,,,,,,,,,,,,,,
Female,22,Yes,1,S,ENG,,,,,,,,,,,,,,,,,
Male,40,No,1,S,USA,,,,,,,,,,,,,,,,,
Male,20,No,3,S,,,,,,,,,,,,,,,,,,
Male,18,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Male,24,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,24,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,29,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,27,No,2,S,FIN,,,,,,,,,,,,,,,,,
Male,25,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,37,No,1,S,IRL,,,,,,,,,,,,,,,,,
Female,8,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,31,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,30,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,36,No,3,S,EUR,,,,,,,,,,,,,,,,,
Female,39,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,37,No,1,C,USA,,,,,,,,,,,,,,,,,
Female,64,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,31,No,3,Q,USA,,,,,,,,,,,,,,,,,
Male,40,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,23,Yes,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,41,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,66,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,43,No,3,S,,,,,,,,,,,,,,,,,,
Female,22,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Female,30,No,2,S,USA,,,,,,,,,,,,,,,,,
Female,32,No,2,S,,,,,,,,,,,,,,,,,,
Male,35,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,27,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,19,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,30,No,3,S,EUR,,,,,,,,,,,,,,,,,
Female,55,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,16,Yes,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,21,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,3,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Male,9,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Female,36,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Male,58,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,59,No,1,S,USA,,,,,,,,,,,,,,,,,
Male,20,No,3,S,USA,,,,,,,,,,,,,,,,,
Female,16,Yes,3,S,USA,,,,,,,,,,,,,,,,,
Male,43,No,3,S,AUS,,,,,,,,,,,,,,,,,
Male,70,No,1,S,USA,,,,,,,,,,,,,,,,,
Female,39,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,64,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,17,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,39,No,1,C,USA,,,,,,,,,,,,,,,,,
Female,35,Yes,1,C,SAM,,,,,,,,,,,,,,,,,
Male,22,No,2,B,EUR,,,,,,,,,,,,,,,,,
Male,28,No,3,C,,,,,,,,,,,,,,,,,,
Female,22,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,45,Yes,3,S,,,,,,,,,,,,,,,,,,
Male,19,No,3,S,,,,,,,,,,,,,,,,,,
Female,33,Yes,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,29,Yes,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,51,Yes,1,S,ENG,,,,,,,,,,,,,,,,,
Male,0.333333333,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,34,No,3,S,SWE,,,,,,,,,,,,,,,,,
Female,28,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,27,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,36,Yes,1,S,ENG,,,,,,,,,,,,,,,,,
Male,27,No,3,S,,,,,,,,,,,,,,,,,,
Female,27,Yes,1,C,NAM,,,,,,,,,,,,,,,,,
Male,31,No,1,C,NAM,,,,,,,,,,,,,,,,,
Male,8,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,24,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,19,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,22,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,22,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,17,No,3,S,ENG,,,,,,,,,,,,,,,,,
Female,48,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Female,28,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Male,24,No,4,S,ENG,,,,,,,,,,,,,,,,,
Female,34,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Male,32,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,18,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,1,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Female,0.166666667,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Male,25,No,3,S,ENG,,,,,,,,,,,,,,,,,
Female,32,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Male,25,No,3,S,EUR,,,,,,,,,,,,,,,,,
Female,24,Yes,2,C,EUR,,,,,,,,,,,,,,,,,
Male,29,No,2,C,EUR,,,,,,,,,,,,,,,,,
Male,36,Yes,3,S,USA,,,,,,,,,,,,,,,,,
Female,36,Yes,3,S,USA,,,,,,,,,,,,,,,,,
Male,30,Yes,3,S,EUR,,,,,,,,,,,,,,,,,
Male,25,No,2,S,EUR,,,,,,,,,,,,,,,,,
Male,30,No,3,S,,,,,,,,,,,,,,,,,,
Male,22,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,26,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,16,No,3,S,EUR,,,,,,,,,,,,,,,,,
Female,19,Yes,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,18,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,31,Yes,1,S,NAM,,,,,,,,,,,,,,,,,
Female,17,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,17,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,42,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,43,No,3,S,,,,,,,,,,,,,,,,,,
Male,52,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,4,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,34,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,18,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Female,34,Yes,2,S,ENG,,,,,,,,,,,,,,,,,
Female,21,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,37,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,18,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Male,22,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,48,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Female,27,Yes,1,C,NAM,,,,,,,,,,,,,,,,,
Male,50,No,1,C,USA,,,,,,,,,,,,,,,,,
Male,55,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,31,Yes,3,S,USA,,,,,,,,,,,,,,,,,
Female,28,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,33,No,3,C,EUR,,,,,,,,,,,,,,,,,
Male,8,Yes,2,S,USA,,,,,,,,,,,,,,,,,
Male,42,No,2,S,ENG,,,,,,,,,,,,,,,,,
Female,34,Yes,2,S,USA,,,,,,,,,,,,,,,,,
Female,27,Yes,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,24,Yes,3,S,ENG,,,,,,,,,,,,,,,,,
Female,48,Yes,1,C,ENG,,,,,,,,,,,,,,,,,
Male,49,Yes,1,C,ENG,,,,,,,,,,,,,,,,,
Male,39,No,1,C,USA,,,,,,,,,,,,,,,,,
Male,24,Yes,3,S,EUR,,,,,,,,,,,,,,,,,
Female,27,Yes,2,C,EUR,,,,,,,,,,,,,,,,,
Female,30,Yes,2,C,EUR,,,,,,,,,,,,,,,,,
Male,65,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,23,No,3,S,USA,,,,,,,,,,,,,,,,,
Female,22,Yes,3,S,USA,,,,,,,,,,,,,,,,,
Female,23,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,18,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,25,No,2,S,USA,,,,,,,,,,,,,,,,,
Male,16,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,45,No,3,S,SWE,,,,,,,,,,,,,,,,,
Male,29,No,3,C,,,,,,,,,,,,,,,,,,
Male,15,No,3,C,LBN,,,,,,,,,,,,,,,,,
Male,22,No,3,C,LBN,,,,,,,,,,,,,,,,,
Male,48,No,3,S,ENG,,,,,,,,,,,,,,,,,
Female,5,Yes,3,S,USA,,,,,,,,,,,,,,,,,
Male,21,No,2,S,SWE,,,,,,,,,,,,,,,,,
Female,39,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,37,No,3,S,,,,,,,,,,,,,,,,,,
Female,54,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Female,36,No,1,C,USA,,,,,,,,,,,,,,,,,
Male,38,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,18,No,2,S,EUR,,,,,,,,,,,,,,,,,
Male,46,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,26,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,49,No,1,S,ENG,,,,,,,,,,,,,,,,,
Male,32,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,18,No,2,S,ENG,,,,,,,,,,,,,,,,,
Male,34,Yes,3,S,,,,,,,,,,,,,,,,,,
Male,18,No,3,S,SWE,,,,,,,,,,,,,,,,,
Female,48,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Female,22,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Female,42,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Male,28,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,48,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,36,Yes,1,S,NAM,,,,,,,,,,,,,,,,,
Male,19,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,20,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,32,Yes,3,S,,,,,,,,,,,,,,,,,,
Female,20,No,3,S,ENG,,,,,,,,,,,,,,,,,
Female,7,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,23,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,18,No,3,S,ENG,,,,,,,,,,,,,,,,,
Female,54,No,3,S,EUR,,,,,,,,,,,,,,,,,
Male,14,No,3,S,ENG,,,,,,,,,,,,,,,,,
Male,30,No,1,S,USA,,,,,,,,,,,,,,,,,
Female,24,Yes,1,S,NAM,,,,,,,,,,,,,,,,,
Female,28,Yes,1,S,NAM,,,,,,,,,,,,,,,,,
Female,23,Yes,1,S,NAM,,,,,,,,,,,,,,,,,
Male,19,No,1,S,NAM,,,,,,,,,,,,,,,,,
Male,64,No,1,S,NAM,,,,,,,,,,,,,,,,,
Female,60,Yes,1,S,NAM,,,,,,,,,,,,,,,,,
Male,28,No,3,Q,IRL,,,,,,,,,,,,,,,,,
Male,38,No,2,S,USA,,,,,,,,,,,,,,,,,
Female,32,Yes,1,C,ENG,,,,,,,,,,,,,,,,,
Male,37,No,1,S,ENG,,,,,,,,,,,,,,,,,
Male,49,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Male,43,Yes,1,C,USA,,,,,,,,,,,,,,,,,
Female,42,Yes,1,S,USA,,,,,,,,,,,,,,,,,
Female,22,Yes,1,C,EUR,,,,,,,,,,,,,,,,,
Male,60,Yes,1,C,EUR,,,,,,,,,,,,,,,,,
Female,48,Yes,1,C,EUR,,,,,,,,,,,,,,,,,
Male,39,No,2,B,ENG,,,,,,,,,,,,,,,,,
Male,39,No,1,S,ENG,,,,,,,,,,,,,,,,,
